Frequency (MHz),Peak (dBuV),Average (dBuV)
32.60268,13.13,10.53
32.75770,13.13,10.85
32.91345,13.94,10.93
33.06995,13.94,10.77
33.22719,12.40,10.77
33.38518,12.32,10.45
33.54392,12.32,1.91
33.70341,12.80,9.63
33.86366,12.80,9.63
34.02468,11.75,9.72
34.18646,11.75,2.07
34.34901,11.67,2.07
34.51233,11.67,10.45
34.67643,12.48,10.53
34.84130,12.48,2.07
35.00697,11.99,2.07
35.17342,12.24,10.20
35.34066,12.24,10.20
35.50870,13.05,10.77
35.67753,13.05,10.93
35.84717,12.64,9.72
36.01762,13.37,9.72
36.18887,13.37,9.88
36.36094,12.07,9.88
36.53383,12.24,9.47
36.70754,12.32,9.47
36.88208,12.32,2.15
37.05744,12.64,2.15
37.23364,12.64,9.72
37.41068,12.72,9.55
37.58856,13.21,9.55
37.76729,13.21,10.20
37.94686,11.99,1.99
38.12729,12.97,10.20
38.30858,12.97,10.12
38.49073,12.07,9.72
38.67374,11.75,9.72
38.85763,11.75,9.88
39.04239,13.05,10.28
39.22802,13.05,10.28
39.41455,12.07,1.83
39.60195,12.15,2.07
39.79025,12.15,2.07
39.97945,11.91,1.91
40.16954,12.48,10.37
40.36054,12.48,8.98
40.55244,12.24,8.98
40.74526,12.24,9.72
40.93899,12.40,1.99
41.13365,12.40,10.12
41.32923,12.72,10.12
41.52574,12.72,10.28
41.72319,13.13,10.45
41.92157,13.13,1.99
42.12090,12.24,10.20
42.32118,12.24,10.20
42.52240,12.48,10.45
42.72459,12.48,9.80
42.92774,12.15,9.80
43.13185,11.83,2.07
43.33693,12.89,2.07
43.54299,12.89,10.77
43.75002,12.56,10.12
43.95805,12.80,10.12
44.16706,12.80,10.20
44.37706,12.64,10.20
44.58807,12.64,9.88
44.80007,12.64,9.88
45.01309,12.56,10.45
45.22711,13.13,9.63
45.44216,13.13,9.63
45.65823,13.62,2.40
45.87532,13.62,10.28
46.09345,12.97,10.12
46.31261,13.05,10.12
46.53282,13.05,2.32
46.75407,12.97,11.02
46.97638,12.72,12.80
47.19974,12.72,2.64
47.42416,12.56,2.64
47.64966,12.56,10.45
47.87622,12.56,10.28
48.10386,12.56,10.28
48.33258,12.32,2.24
48.56239,12.24,1.91
48.79330,12.40,10.37
49.02530,12.64,10.37
49.25840,13.70,2.15
49.49262,13.70,2.15
49.72794,12.64,1.83
49.96439,12.64,1.91
50.20196,12.40,9.31
50.44066,12.72,10.12
50.68049,12.72,10.12
50.92147,12.07,10.28
51.16359,12.89,10.20
51.40686,13.21,9.88
51.65129,13.21,9.88
51.89688,12.15,9.15
52.14364,13.05,9.15
52.39157,13.05,10.37
52.64068,12.64,9.39
52.89097,12.72,9.39
53.14246,12.72,8.82
