Frequency (MHz),Peak (dBuV)
3.45498,48.87
3.46344,48.87
3.47192,49.01
3.48041,49.15
3.48893,49.01
3.49748,48.30
3.50604,48.44
3.51462,48.59
3.52322,48.59
3.53185,49.01
3.54049,49.15
3.55785,49.43
3.56656,49.43
3.58404,48.02
3.59282,47.03
3.60161,47.03
3.61043,47.17
3.61927,47.17
3.62813,45.19
3.63701,45.19
3.64591,44.48
3.65484,44.20
3.66378,43.21
3.67275,43.21
3.68174,43.07
3.69076,43.07
3.69979,42.93
3.71793,42.22
3.72703,42.22
3.73615,45.19
3.74530,46.89
3.75447,47.17
3.76366,47.17
3.77287,47.17
3.78211,45.19
3.79137,45.19
3.80065,45.19
3.80995,48.02
3.81928,49.15
3.82863,49.43
3.83800,49.43
3.84740,49.15
3.85681,49.15
3.86626,49.15
3.87572,49.29
3.88521,49.43
3.89472,49.43
3.92339,43.21
3.93300,48.02
3.94262,45.19
3.95228,45.19
3.96195,45.19
3.97165,48.02
3.98137,48.02
3.99112,48.16
4.00089,49.01
4.02050,45.19
4.03034,45.19
4.04021,45.19
4.05010,45.19
4.06001,45.19
4.06995,45.19
4.07992,44.20
4.08990,44.20
4.09992,44.20
4.10995,44.20
4.12001,45.19
4.13010,45.19
4.14021,45.19
4.15035,45.19
4.16051,45.19
4.17069,45.19
4.18090,47.03
4.19113,47.17
4.20139,47.17
4.21168,47.45
4.22199,47.60
4.23233,47.74
4.24269,47.88
4.25307,48.02
4.26348,48.16
4.27392,48.16
4.28438,48.16
4.29487,48.02
4.30538,47.88
4.31592,47.31
4.36901,45.19
4.37971,45.19
4.39043,45.19
4.40117,45.19
4.41195,45.19
4.42275,45.19
4.43358,39.25
4.44443,39.25
4.45531,39.25
4.46622,39.39
4.47715,41.09
4.48811,41.23
4.49910,41.37
4.51011,43.21
4.52115,43.35
4.53222,43.21
4.54331,45.19
4.55444,45.19
4.56558,45.19
4.57676,45.05
4.58796,44.06
4.59920,47.17
4.61045,47.31
4.62174,47.31
4.63306,47.17
4.64440,47.03
4.65577,45.19
4.66716,46.89
4.67859,47.03
4.69004,47.03
4.70152,47.03
4.71303,47.03
4.72457,46.89
4.73614,46.75
4.74773,46.75
4.75935,46.75
4.77100,45.19
4.78268,45.19
4.79439,45.19
4.80613,45.05
4.81789,44.20
4.82969,44.20
4.84151,44.20
4.85336,44.06
4.86524,43.07
4.87715,42.08
4.88909,41.23
4.90106,41.23
4.91306,41.51
4.92509,44.20
4.93714,44.20
4.94923,44.20
4.96134,45.19
4.97349,45.19
4.98566,47.88
4.99787,45.19
5.01010,46.61
5.02237,46.61
5.03466,46.32
5.04699,47.03
5.05934,47.03
5.07173,47.03
5.08414,47.03
5.09659,46.89
5.10907,46.32
5.12157,46.04
5.13411,46.04
5.14668,45.05
5.15928,44.91
5.17191,44.91
5.18457,45.05
5.19726,45.33
5.20998,45.33
5.22274,45.19
5.23552,41.94
5.24834,41.80
5.26119,41.80
5.27407,41.80
5.28698,39.67
5.29992,39.39
5.31289,39.39
5.32590,43.35
5.33894,43.35
5.35201,43.35
5.36511,43.35
5.37824,43.35
5.39141,43.07
5.40461,43.21
5.41784,43.35
5.43110,43.64
5.44439,43.78
5.45772,43.92
5.47108,44.20
5.48448,44.20
5.49790,44.20
5.51136,44.20
5.52485,44.48
5.53838,45.19
5.55194,45.19
5.56553,45.19
5.57915,45.19
5.59281,45.19
5.60650,45.19
5.62022,45.05
5.63398,44.91
5.64777,44.77
5.66160,44.06
5.67546,44.06
5.68935,44.06
5.70328,43.92
5.71724,43.78
5.73124,43.64
5.74527,40.24
5.75933,40.24
5.77343,40.24
5.78756,41.23
5.80173,41.37
5.81594,42.79
5.83017,42.79
5.84445,42.79
5.85875,45.19
5.87309,46.04
5.88747,46.18
5.90188,46.32
5.91633,46.46
5.93082,46.46
5.94533,46.46
5.95989,46.89
5.97448,47.03
5.98910,47.03
6.00376,47.17
6.01846,47.31
6.03319,47.17
6.04796,45.47
6.06277,45.19
6.07761,45.33
6.09249,45.90
6.10740,46.32
6.12235,46.32
6.13734,46.18
6.15237,43.21
6.16743,43.21
6.18252,44.20
6.19766,44.34
6.21283,47.17
6.22804,47.31
6.24329,47.17
6.25857,47.17
6.27389,47.17
6.28925,48.02
6.30465,48.16
6.32008,49.15
6.33555,49.29
6.35106,49.29
6.36661,49.01
6.38219,48.02
6.39782,47.03
6.42918,48.87
6.44492,48.87
6.46069,48.73
6.47651,48.44
6.50826,44.91
6.52419,45.05
6.54016,45.33
6.55617,45.47
6.57222,51.70
6.58831,51.70
6.60444,51.70
6.62060,51.56
6.63681,51.41
6.65306,51.27
6.66935,51.13
6.68567,51.13
6.70204,51.13
6.71844,51.27
6.73489,51.41
6.75138,51.56
6.76791,51.70
6.78447,51.84
6.80108,51.84
6.81773,51.98
6.83442,49.01
6.85115,48.02
6.86792,48.16
6.88474,48.02
6.90159,48.02
6.91848,47.88
6.93542,47.17
6.95240,47.17
6.96942,47.88
6.98648,48.02
7.02073,51.27
7.03791,49.29
7.05514,49.15
7.07241,49.15
7.08973,49.01
7.10708,49.01
7.12448,49.29
7.14192,49.29
7.15940,49.29
7.17693,49.29
7.19450,49.15
7.21211,48.16
7.22977,48.30
7.24746,48.59
7.26521,48.44
7.28299,46.32
7.30082,46.18
7.31869,46.04
7.33661,45.19
7.35457,48.16
7.37257,48.16
7.39062,48.16
7.40871,48.02
7.42685,49.15
7.44503,49.15
7.46326,49.15
7.48153,49.29
7.49984,49.29
7.51820,47.03
7.53660,46.18
7.55505,46.18
7.57355,46.18
7.59209,46.18
7.61067,46.18
7.62931,45.47
7.64798,45.47
7.66670,44.20
7.68547,44.06
7.70429,43.92
7.72315,46.04
7.74205,46.32
7.76100,48.02
7.78000,48.02
